b
9,2702570S,32394,129576008,517,0,0
9,2500,1,,
S,32396,129584008,517,0,0
S,32397,129588008,517,0,0
S,32398,129592008,517,0,0
S,32399,129596012,517,0,0
S,32400,129600008,518,0,0
S,32401,129604008,518,0,0
S,32402,129608008,518,0,0
S,32403,129612008,518,0,0
S,32404,129616008,518,0,0
S,32405,129620008,518,0,0
S,32406,129624008,518,0,0
S,32407,129628008,518,0,0
S,32408,129632008,518,0,0
S,32409,129636008,518,0,0
S,32410,129640008,518,0,0
S,32411,129644008,518,0,0
S,32412,129648008,518,0,0
S,32413,129652008,518,0,0
S,32414,129656008,518,0,0
S,32415,129660012,518,0,0
S,32416,129664008,521,0,0
S,32417,129668008,525,0,0
S,32418,129672012,529,0,0
S,32419,129676008,532,0,0
S,32420,129680008,536,0,0
S,32421,129684008,540,0,0
S,32422,129688008,544,0,0
S,32423,129692008,544,0,0
S,32424,129696008,540,0,0
S,32425,129700008,537,0,0
S,32426,129704008,533,0,0
S,32427,129708008,530,0,0
S,32428,129712012,526,0,0
S,32429,129716008,522,0,0
S,32430,129720008,519,0,0
S,32431,129724012,519,0,0
S,32432,129728008,519,0,0
S,32433,129732008,519,0,0
S,32434,129736008,519,0,0
S,32435,129740008,519,0,0
S,32436,129744008,519,0,0
S,32437,129748012,519,0,0
S,32438,129752008,519,0,0
S,32439,129756008,519,0,0
S,32440,129760008,512,0,0
S,32441,129764012,497,0,0
S,32442,129768008,482,0,0
S,32443,129772008,482,0,0
S,32444,129776008,497,0,0
S,32445,129780008,512,0,0
S,32446,129784008,519,0,0
S,32447,129788008,519,0,0
S,32448,129792008,604,0,0
S,32449,129796008,689,0,0
S,32450,129800008,775,0,0
S,32451,129804008,690,0,0
S,32452,129808008,605,0,0
S,32453,129812008,520,0,0
S,32454,129816008,520,0,0
S,32455,129820008,504,0,0
S,32456,129824008,488,0,0
S,32457,129828008,472,0,0
S,32458,129832008,455,0,0
S,32459,129836008,472,0,0
S,32460,129840008,488,0,0
S,32461,129844008,504,0,0
S,32462,129848008,520,0,0
S,32463,129852008,520,0,0
S,32464,129856008,520,0,0
S,32465,129860008,520,0,0
S,32466,129864008,520,0,0
S,32467,129868008,520,0,0
S,32468,129872008,520,0,0
S,32469,129876008,520,0,0
S,32470,129880008,520,0,0
S,32471,129884008,520,0,0
S,32472,129888008,523,0,0
S,32473,129892008,529,0,0
S,32474,129896008,534,0,0
S,32475,129900008,540,0,0
S,32476,129904008,545,0,0
S,32477,129908008,551,0,0
S,32478,129912008,556,0,0
S,32479,129916008,561,0,0
S,32480,129920008,566,0,0
S,32481,129924008,572,0,0
S,32482,129928008,577,0,0
S,32483,129932008,582,0,0
S,32484,129936008,587,0,0
S,32485,129940008,592,0,0
S,32486,129944008,598,0,0
S,32487,129948008,603,0,0
S,32488,129952008,603,0,0
S,32489,129956008,598,0,0
S,32490,129960008,592,0,0
S,32491,129964008,587,0,0
S,32492,129968008,582,0,0
S,32493,129972008,577,0,0
S,32494,129976008,572,0,0
S,32495,129980008,566,0,0
S,32496,129984008,561,0,0
S,32497,129988008,556,0,0
S,32498,129992012,551,0,0
S,32499,129996012,545,0,0
S,32500,130000008,541,0,0
S,32501,130004008,536,0,0
S,32502,130008008,531,0,0
S,32503,130012008,525,0,0
S,32504,130016008,522,0,0
S,32505,130020008,522,0,0
S,32506,130024008,522,0,0
S,32507,130028008,522,0,0
S,32508,130032008,522,0,0
S,32509,130036008,522,0,0
S,32510,130040012,522,0,0
S,32511,130044008,522,0,0
S,32512,130048008,522,0,0
S,32513,130052008,522,0,0
S,32514,130056008,522,0,0
S,32515,130060008,522,0,0
S,32516,130064008,522,0,0
S,32517,130068008,522,0,0
S,32518,130072008,522,0,0
S,32519,130076008,522,0,0
S,32520,130080008,522,0,0
S,32521,130084008,522,0,0
S,32522,130088008,522,0,0
S,32523,130092008,522,0,0
S,32524,130096008,522,0,0
S,32525,130100008,521,0,0
S,32526,130104008,521,0,0
S,32527,130108008,521,0,0
S,32528,130112008,521,0,0
S,32529,130116008,521,0,0
S,32530,130120008,521,0,0
S,32531,130124008,521,0,0
S,32532,130128008,521,0,0
S,32533,130132008,521,0,0
S,32534,130136008,521,0,0
S,32535,130140008,521,0,0
S,32536,130144008,524,0,0
S,32537,130148008,528,0,0
S,32538,130152008,532,0,0
S,32539,130156008,535,0,0
S,32540,130160008,539,0,0
S,32541,130164008,543,0,0
S,32542,130168008,547,0,0
S,32543,130172008,547,0,0
S,32544,130176012,543,0,0
S,32545,130180008,539,0,0
S,32546,130184008,535,0,0
S,32547,130188008,532,0,0
S,32548,130192008,528,0,0
S,32549,130196008,524,0,0
S,32550,130200008,520,0,0
S,32551,130204008,520,0,0
S,32552,130208012,520,0,0
S,32553,130212008,520,0,0
S,32554,130216008,520,0,0
S,32555,130220008,520,0,0
S,32556,130224008,520,0,0
S,32557,130228008,520,0,0
S,32558,130232008,520,0,0
S,32559,130236008,520,0,0
S,32560,130240012,513,0,0
S,32561,130244008,498,0,0
S,32562,130248012,483,0,0
S,32563,130252008,483,0,0
S,32564,130256008,498,0,0
S,32565,130260008,513,0,0
S,32566,130264008,520,0,0
S,32567,130268008,520,0,0
S,32568,130272008,605,0,0
S,32569,130276008,690,0,0
S,32570,130280008,775,0,0
S,32571,130284008,690,0,0
S,32572,130288008,605,0,0
S,32573,130292008,520,0,0
S,32574,130296008,520,0,0
S,32575,130300008,503,0,0
S,32576,130304008,487,0,0
S,32577,130308008,471,0,0
S,32578,130312008,454,0,0
S,32579,130316008,471,0,0
S,32580,130320008,487,0,0
S,32581,130324012,503,0,0
S,32582,130328008,519,0,0
S,32583,130332008,519,0,0
S,32584,130336008,519,0,0
S,32585,130340008,519,0,0
S,32586,130344008,519,0,0
S,32587,130348008,519,0,0
S,32588,130352008,519,0,0
S,32589,130356008,519,0,0
S,32590,130360008,519,0,0
S,32591,130364008,519,0,0
S,32592,130368008,522,0,0
S,32593,130372008,528,0,0
S,32594,130376012,533,0,0
S,32595,130380008,538,0,0
S,32596,130384008,543,0,0
S,32597,130388012,549,0,0
S,32598,130392008,554,0,0
S,32599,130396008,559,0,0
S,32600,130400008,563,0,0
S,32601,130404008,569,0,0
S,32602,130408008,574,0,0
S,32603,130412008,579,0,0
S,32604,130416008,584,0,0
S,32605,130420008,589,0,0
S,32606,130424008,595,0,0
S,32607,130428008,600,0,0
S,32608,130432008,600,0,0
S,32609,130436008,595,0,0
S,32610,130440008,589,0,0
S,32611,130444008,584,0,0
S,32612,130448012,579,0,0
S,32613,130452008,574,0,0
S,32614,130456008,569,0,0
S,32615,130460008,563,0,0
S,32616,130464008,558,0,0
S,32617,130468008,553,0,0
S,32618,130472008,548,0,0
S,32619,130476008,542,0,0
S,32620,130480012,537,0,0
S,32621,130484008,532,0,0
S,32622,130488008,527,0,0
S,32623,130492008,521,0,0
S,32624,130496008,518,0,0
S,32625,130500012,517,0,0
S,32626,130504008,517,0,0
S,32627,130508008,517,0,0
S,32628,130512008,517,0,0
S,32629,130516008,517,0,0
S,32630,130520008,517,0,0
S,32631,130524008,517,0,0
S,32632,130528008,517,0,0
S,32633,130532008,517,0,0
S,32634,130536008,517,0,0
S,32635,130540008,517,0,0
S,32636,130544008,517,0,0
S,32637,130548008,517,0,0
S,32638,130552008,517,0,0
S,32639,130556012,517,0,0
S,32640,130560008,517,0,0
S,32641,130564012,517,0,0
S,32642,130568012,517,0,0
S,32643,130572012,517,0,0
S,32644,130576008,517,0,0
S,32645,130580012,517,0,0
S,32646,130584008,517,0,0
S,32647,130588012,517,0,0
S,32648,130592012,517,0,0
S,32649,130596008,517,0,0
S,32650,130600012,516,0,0
S,32651,130604008,516,0,0
S,32652,130608012,516,0,0
S,32653,130612008,516,0,0
S,32654,130616008,516,0,0
S,32655,130620008,516,0,0
S,32656,130624008,519,0,0
S,32657,130628008,523,0,0
S,32658,130632008,527,0,0
S,32659,130636008,530,0,0
S,32660,130640012,534,0,0
S,32661,130644012,538,0,0
S,32662,130648012,542,0,0
S,32663,130652008,542,0,0
S,32664,130656008,538,0,0
S,32665,130660008,534,0,0
S,32666,130664008,530,0,0
S,32667,130668008,527,0,0
S,32668,130672008,523,0,0
S,32669,130676008,519,0,0
S,32670,130680008,516,0,0
S,32671,130684008,516,0,0
S,32672,130688012,516,0,0
S,32673,130692008,516,0,0
S,32674,130696008,516,0,0
S,32675,130700008,515,0,0
S,32676,130704008,515,0,0
S,32677,130708008,515,0,0
S,32678,130712008,515,0,0
S,32679,130716008,515,0,0
S,32680,130720008,508,0,0
S,32681,130724008,493,0,0
S,32682,130728012,478,0,0
S,32683,130732008,478,0,0
S,32684,130736008,493,0,0
S,32685,130740008,508,0,0
S,32686,130744008,515,0,0
S,32687,130748012,515,0,0
S,32688,130752012,600,0,0
S,32689,130756008,685,0,0
S,32690,130760008,770,0,0
S,32691,130764008,685,0,0
S,32692,130768012,599,0,0
S,32693,130772008,515,0,0
S,32694,130776008,515,0,0
S,32695,130780008,499,0,0
S,32696,130784008,483,0,0
S,32697,130788008,467,0,0
S,32698,130792012,451,0,0
S,32699,130796008,467,0,0
S,32700,130800008,482,0,0
S,32701,130804008,498,0,0
S,32702,130808008,514,0,0
S,32703,130812012,514,0,0
S,32704,130816008,514,0,0
S,32705,130820008,514,0,0
S,32706,130824008,514,0,0
S,32707,130828008,514,0,0
S,32708,130832008,514,0,0
S,32709,130836008,514,0,0
S,32710,130840008,514,0,0
S,32711,130844008,514,0,0
S,32712,130848008,517,0,0
S,32713,130852008,523,0,0
S,32714,130856008,528,0,0
S,32715,130860008,533,0,0
S,32716,130864008,538,0,0
S,32717,130868008,544,0,0
S,32718,130872008,549,0,0
S,32719,130876008,554,0,0
S,32720,130880008,559,0,0
S,32721,130884008,565,0,0
S,32722,130888008,570,0,0
S,32723,130892008,575,0,0
S,32724,130896012,580,0,0
S,32725,130900008,584,0,0
S,32726,130904008,590,0,0
S,32727,130908008,595,0,0
S,32728,130912012,595,0,0
S,32729,130916008,590,0,0
S,32730,130920008,584,0,0
S,32731,130924008,579,0,0
S,32732,130928008,574,0,0
S,32733,130932008,569,0,0
S,32734,130936008,564,0,0
S,32735,130940008,558,0,0
S,32736,130944008,553,0,0
S,32737,130948008,548,0,0
S,32738,130952008,543,0,0
S,32739,130956008,537,0,0
S,32740,130960008,532,0,0
S,32741,130964008,527,0,0
S,32742,130968008,522,0,0
S,32743,130972008,516,0,0
S,32744,130976012,513,0,0
S,32745,130980008,513,0,0
S,32746,130984008,513,0,0
S,32747,130988008,513,0,0
S,32748,130992008,513,0,0
S,32749,130996008,513,0,0
S,32750,131000012,512,0,0
S,32751,131004008,512,0,0
S,32752,131008008,512,0,0
S,32753,131012008,512,0,0
S,32754,131016008,512,0,0
S,32755,131020008,512,0,0
S,32756,131024008,512,0,0
S,32757,131028008,512,0,0
S,32758,131032008,512,0,0
S,32759,131036008,512,0,0
S,32760,131040008,512,0,0
S,32761,131044008,512,0,0
S,32762,131048008,512,0,0
S,32763,131052008,512,0,0
S,32764,131056008,512,0,0
S,32765,131060012,512,0,0
S,32766,131064008,512,0,0
S,32767,131068008,512,0,0
S,32768,131072008,512,0,0
S,32769,131076008,512,0,0
S,32770,131080008,512,0,0
