detector,record,fs,seconds,analysed_seconds,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,runtime_ms,runtime_ms_per_minute_ecg
pan_tompkins_baseline,100,360.0,60.0,60.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,2.2972972972972974,2.0,0.45706850068345306,0.0,673.1390000059037,673.1390000059037
pan_tompkins_baseline,101,360.0,60.0,60.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,1.7605633802816902,2.0,0.42673964528290464,0.0,4.041209002025425,4.041209002025425
pan_tompkins_baseline,102,360.0,60.0,60.0,70,74,70.0,0.0,4.0,0.9459459459459459,1.0,0.9722222222222222,22.15714285714286,30.5,13.751148375050464,0.0,3.8352919946191832,3.8352919946191832
pan_tompkins_baseline,103,360.0,60.0,60.0,70,71,70.0,0.0,1.0,0.9859154929577465,1.0,0.9929078014184397,2.4571428571428573,2.0,0.49815987926179117,0.0,3.9834159979363903,3.9834159979363903
pan_tompkins_baseline,104,360.0,60.0,60.0,64,77,64.0,0.0,13.0,0.8311688311688312,1.0,0.9078014184397163,27.984375,39.0,18.29488674081846,0.0,3.579333999368828,3.579333999368828
pan_tompkins_baseline,105,360.0,60.0,60.0,82,84,82.0,0.0,2.0,0.9761904761904762,1.0,0.9879518072289156,6.048780487804878,6.0,0.41030741076245664,0.0,3.6441249976633117,3.6441249976633117
pan_tompkins_baseline,106,360.0,60.0,60.0,54,70,54.0,0.0,16.0,0.7714285714285715,1.0,0.870967741935484,2.185185185185185,2.0,0.4335074041007269,0.0,3.86633299785899,3.86633299785899
pan_tompkins_baseline,107,360.0,60.0,60.0,66,72,66.0,0.0,6.0,0.9166666666666666,1.0,0.9565217391304348,34.54545454545455,39.0,14.61441983855777,0.0,3.627209000114817,3.627209000114817
pan_tompkins_baseline,108,360.0,60.0,60.0,58,63,58.0,0.0,5.0,0.9206349206349206,1.0,0.9586776859504132,3.9827586206896552,4.0,1.7269804155024842,0.0,3.6721669966937043,3.6721669966937043
pan_tompkins_baseline,109,360.0,60.0,60.0,69,92,69.0,0.0,23.0,0.75,1.0,0.8571428571428571,5.130434782608695,5.0,2.71823175408851,0.0,3.844708000542596,3.844708000542596
pan_tompkins_baseline,111,360.0,60.0,60.0,63,70,63.0,0.0,7.0,0.9,1.0,0.9473684210526316,2.4285714285714284,2.0,1.5807802545426504,0.0,3.8111250032670796,3.8111250032670796
pan_tompkins_baseline,112,360.0,60.0,60.0,85,86,85.0,0.0,1.0,0.9883720930232558,1.0,0.9941520467836257,2.152941176470588,2.0,0.3599307891947849,0.0,3.6553329991875216,3.6553329991875216
pan_tompkins_baseline,113,360.0,60.0,60.0,58,59,58.0,0.0,1.0,0.9830508474576272,1.0,0.9914529914529915,2.4827586206896552,2.0,0.4997026464203254,0.0,3.6406250001164153,3.6406250001164153
pan_tompkins_baseline,114,360.0,60.0,60.0,54,55,54.0,0.0,1.0,0.9818181818181818,1.0,0.9908256880733944,7.222222222222222,12.0,6.155617952172946,0.0,3.789041998970788,3.789041998970788
pan_tompkins_baseline,115,360.0,60.0,60.0,63,64,63.0,0.0,1.0,0.984375,1.0,0.9921259842519685,3.1746031746031744,3.0,0.3796273251778222,0.0,3.7778750047436915,3.7778750047436915
pan_tompkins_baseline,116,360.0,60.0,60.0,77,79,76.0,1.0,3.0,0.9620253164556962,0.987012987012987,0.9743589743589742,2.6973684210526314,3.0,0.459397111844634,1.0,3.7338340043788776,3.7338340043788776
pan_tompkins_baseline,117,360.0,60.0,60.0,50,51,50.0,0.0,1.0,0.9803921568627451,1.0,0.99009900990099,3.96,3.0,4.6303347611160905,0.0,3.804374995524995,3.804374995524995
pan_tompkins_baseline,118,360.0,60.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,16.534246575342465,18.0,5.710932453107436,0.0,3.690749996167142,3.690749996167142
pan_tompkins_baseline,119,360.0,60.0,60.0,65,71,65.0,0.0,6.0,0.9154929577464789,1.0,0.9558823529411764,3.8153846153846156,3.0,2.6269427862758765,0.0,3.697874999488704,3.697874999488704
pan_tompkins_baseline,121,360.0,60.0,60.0,60,61,60.0,0.0,1.0,0.9836065573770492,1.0,0.9917355371900827,4.8,5.0,0.4760952285695233,0.0,3.497375000733882,3.497375000733882
pan_tompkins_baseline,122,360.0,60.0,60.0,87,88,87.0,0.0,1.0,0.9886363636363636,1.0,0.9942857142857142,3.7471264367816093,5.0,1.8144907825904473,0.0,3.722041998116765,3.722041998116765
pan_tompkins_baseline,123,360.0,60.0,60.0,49,50,49.0,0.0,1.0,0.98,1.0,0.98989898989899,2.9183673469387754,3.0,0.2738042421428314,0.0,3.6993329995311797,3.6993329995311797
pan_tompkins_baseline,124,360.0,60.0,60.0,49,50,49.0,0.0,1.0,0.98,1.0,0.98989898989899,1.183673469387755,1.0,0.9829873125544731,0.0,3.6167080033919774,3.6167080033919774
pan_tompkins_baseline,200,360.0,60.0,60.0,76,94,76.0,0.0,18.0,0.8085106382978723,1.0,0.8941176470588235,3.6315789473684212,3.0,5.4720392265040365,0.0,3.534250005031936,3.534250005031936
pan_tompkins_baseline,201,360.0,60.0,60.0,87,91,87.0,0.0,4.0,0.9560439560439561,1.0,0.9775280898876404,3.7126436781609193,3.0,1.761060586770406,0.0,3.8947909997659735,3.8947909997659735
pan_tompkins_baseline,202,360.0,60.0,60.0,52,54,52.0,0.0,2.0,0.9629629629629629,1.0,0.9811320754716981,5.980769230769231,6.0,0.9901512047581538,0.0,3.6917500037816353,3.6917500037816353
pan_tompkins_baseline,203,360.0,60.0,60.0,72,109,72.0,0.0,37.0,0.6605504587155964,1.0,0.7955801104972376,5.208333333333333,5.0,2.7281327558118087,0.0,3.840083001705352,3.840083001705352
pan_tompkins_baseline,205,360.0,60.0,60.0,87,90,87.0,0.0,3.0,0.9666666666666667,1.0,0.983050847457627,2.2873563218390807,2.0,0.45252918816159815,0.0,4.0897500002756715,4.0897500002756715
pan_tompkins_baseline,207,360.0,60.0,60.0,65,97,63.0,2.0,34.0,0.6494845360824743,0.9692307692307692,0.7777777777777778,6.873015873015873,3.0,12.85116459091967,2.0,3.831374997389503,3.831374997389503
pan_tompkins_baseline,208,360.0,60.0,60.0,75,111,75.0,0.0,36.0,0.6756756756756757,1.0,0.8064516129032258,2.7466666666666666,2.0,2.239603139447305,0.0,3.801582999585662,3.801582999585662
pan_tompkins_baseline,209,360.0,60.0,60.0,87,94,87.0,0.0,7.0,0.925531914893617,1.0,0.9613259668508287,2.9195402298850577,3.0,0.27200366818848803,0.0,3.6176249996060506,3.6176249996060506
pan_tompkins_baseline,210,360.0,60.0,60.0,85,93,85.0,0.0,8.0,0.9139784946236559,1.0,0.9550561797752808,2.847058823529412,2.0,1.7320907621439756,0.0,3.8336669967975467,3.8336669967975467
pan_tompkins_baseline,212,360.0,60.0,60.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,4.311111111111111,3.0,5.143808456007938,0.0,3.5429999988991767,3.5429999988991767
pan_tompkins_baseline,213,360.0,60.0,60.0,99,112,99.0,0.0,13.0,0.8839285714285714,1.0,0.9383886255924171,2.080808080808081,2.0,0.33864756796444867,0.0,3.626833000453189,3.626833000453189
pan_tompkins_baseline,214,360.0,60.0,60.0,76,77,76.0,0.0,1.0,0.987012987012987,1.0,0.9934640522875817,6.5131578947368425,6.0,2.7743819655661555,0.0,3.837958996882662,3.837958996882662
pan_tompkins_baseline,215,360.0,60.0,60.0,83,114,83.0,0.0,31.0,0.7280701754385965,1.0,0.8426395939086295,3.6626506024096384,3.0,2.6867740017011403,0.0,3.7896249996265396,3.7896249996265396
pan_tompkins_baseline,217,360.0,60.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,23.319444444444443,23.0,1.3104959715153741,0.0,3.8030830037314445,3.8030830037314445
pan_tompkins_baseline,219,360.0,60.0,60.0,73,75,73.0,0.0,2.0,0.9733333333333334,1.0,0.9864864864864865,2.219178082191781,2.0,0.5792431373113966,0.0,4.025834001367912,4.025834001367912
pan_tompkins_baseline,220,360.0,60.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,3.111111111111111,3.0,1.3182011686338524,0.0,4.0897919971030205,4.0897919971030205
pan_tompkins_baseline,221,360.0,60.0,60.0,67,79,67.0,0.0,12.0,0.8481012658227848,1.0,0.9178082191780821,2.7761194029850746,3.0,0.5940223505114149,0.0,3.9594999980181456,3.9594999980181456
pan_tompkins_baseline,222,360.0,60.0,60.0,61,76,61.0,0.0,15.0,0.8026315789473685,1.0,0.8905109489051095,2.442622950819672,2.0,0.4966969641817416,0.0,3.8864999951329082,3.8864999951329082
pan_tompkins_baseline,223,360.0,60.0,60.0,79,81,79.0,0.0,2.0,0.9753086419753086,1.0,0.9875,5.2025316455696204,5.0,0.9857175865281917,0.0,3.905833997123409,3.905833997123409
pan_tompkins_baseline,228,360.0,60.0,60.0,68,85,68.0,0.0,17.0,0.8,1.0,0.888888888888889,2.911764705882353,2.0,3.3257410652692116,0.0,3.9365839984384365,3.9365839984384365
pan_tompkins_baseline,230,360.0,60.0,60.0,71,86,71.0,0.0,15.0,0.8255813953488372,1.0,0.9044585987261146,4.704225352112676,3.0,3.647860133674293,0.0,3.6904169974150136,3.6904169974150136
pan_tompkins_baseline,231,360.0,60.0,60.0,63,65,63.0,0.0,2.0,0.9692307692307692,1.0,0.9843749999999999,1.8095238095238095,2.0,0.3926767262493011,0.0,3.7714159989263862,3.7714159989263862
pan_tompkins_baseline,232,360.0,60.0,60.0,56,59,56.0,0.0,3.0,0.9491525423728814,1.0,0.9739130434782608,4.482142857142857,3.0,3.02956309573186,0.0,4.09166699682828,4.09166699682828
pan_tompkins_baseline,233,360.0,60.0,60.0,89,107,89.0,0.0,18.0,0.8317757009345794,1.0,0.9081632653061225,4.820224719101123,5.0,3.2945690276031114,0.0,4.032582997751888,4.032582997751888
pan_tompkins_baseline,234,360.0,60.0,60.0,92,93,92.0,0.0,1.0,0.989247311827957,1.0,0.9945945945945946,2.3260869565217392,2.0,0.46877953593147437,0.0,3.784665997955017,3.784665997955017
current,100,360.0,60.0,60.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,0.47297297297297297,0.0,0.5256391983453168,0.0,4.9042499958886765,4.9042499958886765
current,101,360.0,60.0,60.0,73,72,71.0,2.0,1.0,0.9861111111111112,0.9726027397260274,0.9793103448275863,0.38028169014084506,0.0,0.48545599829898833,2.0,5.003874997782987,5.003874997782987
current,102,360.0,60.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,12.479452054794521,16.0,13.130149491565492,0.0,5.10954099445371,5.10954099445371
