record,fs,seconds,analysed_seconds,refractory_ms,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,mean_hr_bpm,signal_quality,rhythm_label,reasons
100,360.0,300.0,300.0,220.0,371,372,371.0,0.0,1.0,0.9973118279569892,1.0,0.9986541049798116,0.42048517520215634,0.0,0.5202226163239564,0.0,74.22335732528443,0.7808219177911061,Low preliminary rhythm warning,Premature-beat suspicion
101,360.0,300.0,300.0,220.0,350,348,341.0,9.0,7.0,0.9798850574712644,0.9742857142857143,0.9770773638968482,0.5542521994134897,1.0,0.8497823325074427,1.8,69.90680205870079,0.9116022099366929,Normal rhythm candidate,No rule-based warning
102,360.0,300.0,300.0,220.0,367,371,366.0,1.0,5.0,0.9865229110512129,0.997275204359673,0.991869918699187,5.273224043715847,1.0,9.623963913989858,0.2,73.42708004383928,0.8888888888790122,Low preliminary rhythm warning,Wide QRS warning
103,360.0,300.0,300.0,220.0,356,356,355.0,1.0,1.0,0.9971910112359551,0.9971910112359551,0.9971910112359551,0.5971830985915493,1.0,0.49046451996871826,0.2,71.17860557510049,0.8832116788218017,Normal rhythm candidate,No rule-based warning
104,360.0,300.0,300.0,220.0,381,415,368.0,13.0,47.0,0.8867469879518072,0.9658792650918635,0.9246231155778893,16.22554347826087,3.0,18.459267532412433,2.6,76.20886875139271,0.8811881188049014,Normal rhythm candidate,No rule-based warning
105,360.0,300.0,300.0,220.0,418,426,417.0,1.0,9.0,0.9788732394366197,0.9976076555023924,0.9881516587677724,0.4460431654676259,0.0,0.5543252483637152,0.2,83.64862229404062,0.9245283018798148,Moderate preliminary rhythm warning,Premature-beat suspicion; Wide QRS warning
106,360.0,300.0,300.0,220.0,339,344,330.0,9.0,14.0,0.9593023255813954,0.9734513274336283,0.9663250366032211,2.590909090909091,0.0,6.363484125163112,1.8,67.7763440061642,0.8888888888823048,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
107,360.0,300.0,300.0,220.0,353,354,353.0,0.0,1.0,0.9971751412429378,1.0,0.9985855728429986,33.844192634560905,37.0,13.427592903633508,0.0,70.56923548138592,0.9472817133418193,Normal rhythm candidate,No rule-based warning
108,360.0,300.0,300.0,220.0,292,294,283.0,9.0,11.0,0.9625850340136054,0.9691780821917808,0.9658703071672354,2.491166077738516,1.0,4.659104064475753,1.8,58.27500208601811,0.8814814814710341,Moderate preliminary rhythm warning,Low heart-rate status; Irregular RR intervals; Premature-beat suspicion
109,360.0,300.0,300.0,220.0,433,434,433.0,0.0,1.0,0.9976958525345622,1.0,0.9988465974625144,1.2840646651270209,1.0,2.159826305789591,0.0,86.55788799940632,0.9504720631434102,Normal rhythm candidate,No rule-based warning
111,360.0,300.0,300.0,220.0,352,353,349.0,3.0,4.0,0.9886685552407932,0.9914772727272727,0.9900709219858156,1.2234957020057307,1.0,1.431478018515579,0.6,70.45703771165176,0.9069767441776094,Normal rhythm candidate,No rule-based warning
112,360.0,300.0,300.0,220.0,430,429,428.0,2.0,1.0,0.9976689976689976,0.9953488372093023,0.9965075669383003,0.21962616822429906,0.0,0.4255672923374756,0.4,86.00066822586034,0.9036144578226156,Normal rhythm candidate,No rule-based warning
113,360.0,300.0,300.0,220.0,302,290,289.0,13.0,1.0,0.996551724137931,0.956953642384106,0.9763513513513513,0.5294117647058824,1.0,0.4991341984846218,2.6,60.35143740311336,0.9466666666616177,Low preliminary rhythm warning,Irregular RR intervals
114,360.0,300.0,300.0,220.0,288,276,276.0,12.0,0.0,1.0,0.9583333333333334,0.9787234042553191,3.927536231884058,2.0,5.897958699770337,2.4,57.65088812424441,0.8431372548887349,Moderate preliminary rhythm warning,Low heart-rate status; Irregular RR intervals; Premature-beat suspicion
115,360.0,300.0,300.0,220.0,326,317,316.0,10.0,1.0,0.9968454258675079,0.9693251533742331,0.9828926905132193,1.2278481012658229,1.0,0.4194440892602757,2.0,65.14234809398314,0.9135135135056136,Low preliminary rhythm warning,Irregular RR intervals
116,360.0,300.0,300.0,220.0,396,396,395.0,1.0,1.0,0.9974747474747475,0.9974747474747475,0.9974747474747475,0.8632911392405064,1.0,0.49367737743216794,0.2,79.08054499953657,0.9111111111057124,Low preliminary rhythm warning,Premature-beat suspicion
