record,fs,seconds,analysed_seconds,refractory_ms,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,mean_hr_bpm,signal_quality,rhythm_label,reasons
100,360.0,60.0,60.0,220.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,0.47297297297297297,0.0,0.5256391983453168,0.0,73.86518011898627,0.7808219177911057,Normal rhythm candidate,No rule-based warning
101,360.0,60.0,60.0,220.0,73,72,71.0,2.0,1.0,0.9861111111111112,0.9726027397260274,0.9793103448275863,0.38028169014084506,0.0,0.48545599829898833,2.0,72.61860291370937,0.8504672897069088,Normal rhythm candidate,No rule-based warning
102,360.0,60.0,60.0,220.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,12.479452054794521,16.0,13.130149491565492,0.0,72.56438969764838,0.8787878787772266,Low preliminary rhythm warning,Wide QRS warning
103,360.0,60.0,60.0,220.0,70,71,70.0,0.0,1.0,0.9859154929577465,1.0,0.9929078014184397,0.6428571428571429,1.0,0.4791574237499549,0.0,70.12657036653648,0.8857142857041631,Normal rhythm candidate,No rule-based warning
104,360.0,60.0,60.0,220.0,77,77,74.0,3.0,3.0,0.961038961038961,0.961038961038961,0.961038961038961,24.64864864864865,36.0,19.427413553284527,3.0,76.75690840230047,0.9120879120798936,Normal rhythm candidate,No rule-based warning
105,360.0,60.0,60.0,220.0,83,84,83.0,0.0,1.0,0.9880952380952381,1.0,0.9940119760479043,0.4578313253012048,0.0,0.5865379009464138,0.0,82.84765424014219,0.9234632862880765,Moderate preliminary rhythm warning,Premature-beat suspicion; Wide QRS warning
106,360.0,60.0,60.0,220.0,68,70,68.0,0.0,2.0,0.9714285714285714,1.0,0.9855072463768115,0.6470588235294118,0.0,3.1897869026674917,0.0,68.12917804349874,0.8628571428492542,Low preliminary rhythm warning,Wide QRS warning
107,360.0,60.0,60.0,220.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,32.985915492957744,38.0,16.342847759260454,0.0,70.5223880597015,0.9469320066309866,Normal rhythm candidate,No rule-based warning
108,360.0,60.0,60.0,220.0,59,63,58.0,1.0,5.0,0.9206349206349206,0.9830508474576272,0.9508196721311476,0.603448275862069,1.0,0.8320640353112865,1.0,59.04420774813837,0.8840579710042427,Moderate preliminary rhythm warning,Low heart-rate status; Irregular RR intervals; Premature-beat suspicion
109,360.0,60.0,60.0,220.0,91,92,91.0,0.0,1.0,0.9891304347826086,1.0,0.994535519125683,2.065934065934066,1.0,3.443893629735216,0.0,91.23333959076402,0.9473684210476454,Normal rhythm candidate,No rule-based warning
111,360.0,60.0,60.0,220.0,69,70,69.0,0.0,1.0,0.9857142857142858,1.0,0.9928057553956835,1.0579710144927537,1.0,0.5352517481918663,0.0,69.45337620578776,0.8911564625753342,Normal rhythm candidate,No rule-based warning
112,360.0,60.0,60.0,220.0,85,86,85.0,0.0,1.0,0.9883720930232558,1.0,0.9941520467836257,0.15294117647058825,0.0,0.3599307891947849,0.0,85.50021205409736,0.8688524590049985,Normal rhythm candidate,No rule-based warning
113,360.0,60.0,60.0,220.0,62,59,58.0,4.0,1.0,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.5517241379310345,1.0,0.49731741730537776,4.0,61.668070766638586,0.942652329743698,Low preliminary rhythm warning,Irregular RR intervals
114,360.0,60.0,60.0,220.0,57,55,55.0,2.0,0.0,1.0,0.9649122807017544,0.9821428571428572,6.9818181818181815,9.0,5.7232020165562965,2.0,56.16381111575428,0.8072289156470894,Low preliminary rhythm warning,Low heart-rate status
115,360.0,60.0,60.0,220.0,63,64,63.0,0.0,1.0,0.984375,1.0,0.9921259842519685,1.3015873015873016,1.0,0.4589470569778083,0.0,62.796586326549765,0.9096045197657897,Normal rhythm candidate,No rule-based warning
116,360.0,60.0,60.0,220.0,79,79,78.0,1.0,1.0,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9230769230769231,1.0,0.38461538461538464,1.0,78.70690460618518,0.9055118110179186,Normal rhythm candidate,No rule-based warning
117,360.0,60.0,60.0,220.0,57,51,50.0,7.0,1.0,0.9803921568627451,0.8771929824561403,0.9259259259259259,2.06,1.0,2.996064084761873,7.0,56.56565656565657,0.9012345678923334,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
118,360.0,60.0,60.0,220.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,4.068493150684931,2.0,6.025310971435067,0.0,72.34161317331845,0.9205298013196268,Normal rhythm candidate,No rule-based warning
119,360.0,60.0,60.0,220.0,66,71,65.0,1.0,6.0,0.9154929577464789,0.9848484848484849,0.948905109489051,0.8615384615384616,1.0,1.599112179715235,1.0,66.5907797381901,0.9512195121904818,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
121,360.0,60.0,60.0,220.0,60,61,60.0,0.0,1.0,0.9836065573770492,1.0,0.9917355371900827,0.8333333333333334,1.0,0.7717224601860149,0.0,59.954836281520514,0.95854922278998,Low preliminary rhythm warning,Low heart-rate status; Wide QRS warning
122,360.0,60.0,60.0,220.0,87,88,87.0,0.0,1.0,0.9886363636363636,1.0,0.9942857142857142,0.3793103448275862,0.0,0.6164178242662953,0.0,87.10494232392385,0.9083969465593386,Normal rhythm candidate,No rule-based warning
123,360.0,60.0,60.0,220.0,52,50,49.0,3.0,1.0,0.98,0.9423076923076923,0.9607843137254902,1.0408163265306123,1.0,0.19786448397617673,3.0,51.27536771550922,0.873015873004787,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
124,360.0,60.0,60.0,220.0,49,50,49.0,0.0,1.0,0.98,1.0,0.98989898989899,0.6530612244897959,1.0,0.5170963044620378,0.0,49.42320526265612,0.8954248365919442,Low preliminary rhythm warning,Possible bradycardia
200,360.0,60.0,60.0,220.0,89,94,88.0,1.0,6.0,0.9361702127659575,0.9887640449438202,0.9617486338797814,2.727272727272727,1.0,7.501480570114253,1.0,88.11013767209012,0.9367588932747082,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
201,360.0,60.0,60.0,220.0,89,91,89.0,0.0,2.0,0.978021978021978,1.0,0.9888888888888888,1.0786516853932584,1.0,0.40293081072002485,0.0,88.81412952060553,0.8709677419242458,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
202,360.0,60.0,60.0,220.0,55,54,53.0,2.0,1.0,0.9814814814814815,0.9636363636363636,0.9724770642201834,0.7924528301886793,1.0,1.3647653826434052,2.0,54.48685009576307,0.8749999999890623,High preliminary rhythm warning,Low heart-rate status; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
203,360.0,60.0,60.0,220.0,102,109,102.0,0.0,7.0,0.9357798165137615,1.0,0.966824644549763,2.2941176470588234,1.0,6.677327116748712,0.0,102.3696682464455,0.9164490861580514,High preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
205,360.0,60.0,60.0,220.0,89,90,89.0,0.0,1.0,0.9888888888888889,1.0,0.9944134078212291,0.2808988764044944,0.0,0.4494382022471911,0.0,89.63500895972838,0.8571428571183672,Normal rhythm candidate,No rule-based warning
207,360.0,60.0,60.0,220.0,82,97,75.0,7.0,22.0,0.7731958762886598,0.9146341463414634,0.8379888268156425,10.226666666666667,5.0,15.838653141392207,7.0,81.52842497670083,0.939849624054497,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
208,360.0,60.0,60.0,220.0,106,111,98.0,8.0,13.0,0.8828828828828829,0.9245283018867925,0.903225806451613,2.510204081632653,1.0,6.194138111051085,8.0,105.41972668959747,0.938931297706101,Moderate preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
209,360.0,60.0,60.0,220.0,93,94,93.0,0.0,1.0,0.9893617021276596,1.0,0.9946524064171123,0.946236559139785,1.0,0.3396896558909959,0.0,93.54610930659511,0.8620689655053506,Normal rhythm candidate,No rule-based warning
210,360.0,60.0,60.0,220.0,92,93,90.0,2.0,3.0,0.967741935483871,0.9782608695652174,0.972972972972973,0.35555555555555557,0.0,0.7370277311900889,2.0,91.90629821854397,0.904191616757804,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
212,360.0,60.0,60.0,220.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,1.3888888888888888,1.0,3.713921091857393,0.0,90.89791479502578,0.8928571428507652,Normal rhythm candidate,No rule-based warning
213,360.0,60.0,60.0,220.0,110,112,110.0,0.0,2.0,0.9821428571428571,1.0,0.9909909909909909,0.14545454545454545,0.0,0.3654500225862142,0.0,110.57674243847453,0.903044993178473,Low preliminary rhythm warning,Possible tachycardia
214,360.0,60.0,60.0,220.0,76,77,76.0,0.0,1.0,0.987012987012987,1.0,0.9934640522875817,1.4078947368421053,1.0,3.2532478976641954,0.0,75.38389948813402,0.9230769230721894,Moderate preliminary rhythm warning,Premature-beat suspicion; Wide QRS warning
215,360.0,60.0,60.0,220.0,114,114,114.0,0.0,0.0,1.0,1.0,1.0,1.4385964912280702,1.0,4.0728212815874105,0.0,113.32528554183304,0.8674033149094592,Moderate preliminary rhythm warning,Possible tachycardia; Premature-beat suspicion
217,360.0,60.0,60.0,220.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,22.38888888888889,23.0,3.169102377100369,0.0,71.86167471065086,0.9509202453956617,Normal rhythm candidate,No rule-based warning
219,360.0,60.0,60.0,220.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,0.25675675675675674,0.0,0.4368440506822868,0.0,74.04207362885047,0.9266223343201896,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
220,360.0,60.0,60.0,220.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,1.2083333333333333,1.0,1.3367288939057422,0.0,71.8919932495781,0.8490566037607689,Normal rhythm candidate,No rule-based warning
221,360.0,60.0,60.0,220.0,78,79,78.0,0.0,1.0,0.9873417721518988,1.0,0.9936305732484078,0.9615384615384616,1.0,0.8989913260645235,0.0,78.19831679909728,0.8981216173101745,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
