metric,value
accuracy,0.9965277777777778
precision_macro,0.4982638888888889
recall_macro,0.5
f1_macro,0.4991304347826087
f1_weighted,0.9947946859903382
labels,"['normal_like', 'warning_like']"
auroc,0.9965156794425087
scope,exploratory_non_diagnostic
evaluation_source,"MIT-BIH DS2 (patient-wise, no leakage), scheme=binary"
split,ds1ds2
records,"['100', '103']"
n_samples,288
skipped_beats,"{'non_beat_or_out_of_window': 4077, 'unlabelled_class': 0, 'records_failed': 0}"
unstable_small_classes,True
note,Beat-type ML advisory; not a validated arrhythmia diagnosis.
