rr_prev_s,rr_next_s,rr_ratio_to_median,instant_hr_bpm,local_median_hr_bpm,rr_cv,qrs_duration_s,r_amplitude,qrs_energy,sqi_numeric,p_visible,t_visible,label
0.0,0.836,0.0,0.0,72.11538461538461,0.002293630266695643,0.08,0.9889361198396636,0.18675183697742498,1.0,1.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.084,0.8512874341827213,0.1895330330964083,1.0,1.0,0.0,normal_like
0.832,0.832,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.782405818094819,0.19248912707349417,1.0,0.0,0.0,normal_like
0.832,0.836,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.9002173454154604,0.19132159349783812,1.0,1.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.084,0.88267851953239,0.18622365911076466,1.0,1.0,0.0,normal_like
0.832,0.832,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.8355206171738865,0.19014593588816597,1.0,1.0,0.0,normal_like
0.832,0.836,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.8907400038207077,0.1849011263080738,1.0,0.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.084,0.8557428300229865,0.18619793327468373,1.0,1.0,0.0,normal_like
0.832,0.832,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.9004996548605498,0.1888023016946745,1.0,0.0,0.0,normal_like
0.832,0.832,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.08,0.8151940091940304,0.18458357550183482,1.0,1.0,0.0,normal_like
0.832,0.836,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.8858402672944904,0.18495914006812814,1.0,0.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.084,0.9483218721059836,0.18884108585511405,1.0,1.0,0.0,normal_like
0.832,0.832,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.9207784609048604,0.18994594570743678,1.0,1.0,0.0,normal_like
0.832,0.836,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.8378224594597378,0.18661927617228444,1.0,1.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.084,0.9183875142359114,0.1896679135027735,1.0,0.0,0.0,normal_like
0.832,0.836,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.088,0.9805521753212649,0.19419564594226266,1.0,1.0,0.0,normal_like
0.836,0.832,1.0048076923076923,71.77033492822967,72.11538461538461,0.002293630266695643,0.088,0.7949579236812392,0.18493881034122023,1.0,1.0,0.0,normal_like
0.832,0.0,1.0,72.11538461538461,72.11538461538461,0.002293630266695643,0.084,0.8019305619577115,0.18440153015808627,1.0,1.0,0.0,normal_like
0.0,0.752,0.0,0.0,79.7872340425532,0.0026625969633750062,0.084,0.9864743361851059,0.19583149190348906,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.8819313395854613,0.18491591212771677,1.0,0.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.08,0.8342170588948138,0.19483442908480889,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.088,0.8047867330417638,0.18581854409985316,1.0,1.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.088,0.9609198569293519,0.1843393532167382,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.8668381385513344,0.19247446822981848,1.0,1.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.088,0.8354317967992962,0.17922266242327736,1.0,0.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.08,0.7985743914200955,0.18763896584965764,1.0,0.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.08,0.9859101836310337,0.19665203994552227,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.8727917088595697,0.1911307709863071,1.0,1.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.088,0.8660087005718433,0.18815387269957903,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.08,0.7984116019846726,0.19277457079054092,1.0,1.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.088,0.9906196495939515,0.19092930177406306,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.866296097907939,0.19204171741533554,1.0,1.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.088,0.8476374647600317,0.1901742918753914,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.782055679261682,0.18656133490840945,1.0,0.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.084,0.9275992793368717,0.17857657977332536,1.0,1.0,0.0,normal_like
0.752,0.748,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.084,0.8594848991368595,0.19211158227348593,1.0,0.0,0.0,normal_like
0.748,0.752,0.9946808510638298,80.21390374331551,79.7872340425532,0.0026625969633750062,0.084,0.8518516582135506,0.18544099395320277,1.0,1.0,0.0,normal_like
0.752,0.0,1.0,79.7872340425532,79.7872340425532,0.0026625969633750062,0.088,0.7752404252410341,0.1828875149937088,1.0,1.0,0.0,normal_like
0.0,1.336,0.0,0.0,45.04504504504504,0.21950686504472047,0.08,1.0090800200457848,0.19123240793865987,1.0,0.0,0.0,warning_like
1.336,1.332,1.003003003003003,44.91017964071856,45.04504504504504,0.21950686504472047,0.084,0.8166104319642414,0.18610307767016027,1.0,1.0,0.0,warning_like
1.332,0.42,1.0,45.04504504504504,45.04504504504504,0.21950686504472047,0.088,0.917290653477944,0.19153836446825703,1.0,0.0,0.0,warning_like
0.42,0.912,0.31531531531531526,142.85714285714286,45.04504504504504,0.21950686504472047,0.036,0.03161334031434085,0.0007310594326642583,1.0,0.0,1.0,warning_like
