record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel100,q1c,250.0,600.66,24.528,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,15.866666666666667,12.0,16.764512784118985,3.966666666666667,0.0,30,0,0,1.0,4.133333333333334,4.0,2.186829262247563,1.0333333333333334,0.0,30,0,0,1.0,98.8,96.0,12.4,24.7,0.0,30,1.0,30.666666666666668,32.0,30,1.0,3.2,4.0,39.6,12.0,43.20925826718159
sel102,q1c,250.0,600.416,90.0,0,150.0,0,56,56,56,56,109,109,108,0.14285714285714285,0,109,0,0.0,,,,,1.0,56,53,0,1.0,45.07142857142857,44.0,38.161779682968515,11.267857142857142,0.0,56,52,0,1.0,72.71428571428571,76.0,17.519085802259738,18.178571428571427,0.0,56,1.0,24.857142857142858,22.0,56,1.0,80.0,80.0,58.892857142857146,68.0,27.569184771762693
sel103,q1c,250.0,600.436,26.296,0,150.0,30,30,30,30,30,30,30,30,0.1,30,0,0,1.0,9.6,8.0,8.999753083032642,2.4,0.0,30,0,0,1.0,4.4,4.0,3.6781637931023257,1.1,0.0,30,0,0,1.0,7.733333333333333,6.0,8.726969691708572,1.9333333333333333,0.0,30,1.0,20.4,20.0,30,1.0,13.333333333333334,12.0,7.2444444444444445,4.0,5.929795033203295
sel104,q1c,250.0,600.968,90.0,0,150.0,13,62,62,62,62,102,136,135,0.006550218340611353,13,89,0,1.0,26.153846153846153,12.0,41.260609179003715,6.538461538461538,0.7903225806451613,62,74,0,1.0,26.903225806451612,12.0,38.99470334106478,6.725806451612903,0.0,56,79,6,0.9032258064516129,57.57142857142857,42.0,74.49900697872641,14.392857142857142,0.0,62,1.0,47.61290322580645,24.0,61,0.9838709677419355,49.049180327868854,52.0,39.93893129770992,20.0,41.59267326208887
sel114,q1c,250.0,600.304,90.0,0,150.0,30,30,30,30,30,100,101,101,0.0,30,70,0,1.0,21.2,16.0,28.215362245887725,5.3,0.0,30,71,0,1.0,18.8,22.0,15.428112867964982,4.7,0.0,30,71,0,1.0,16.0,12.0,21.604937707231034,4.0,0.0,30,1.0,50.0,56.0,30,1.0,30.133333333333333,28.0,18.666666666666668,16.0,15.514867421641446
sel116,q1c,250.0,600.496,90.0,0,150.0,44,44,44,44,44,117,117,117,0.06140350877192982,44,73,0,1.0,12.0,8.0,9.848438228327884,3.0,0.0,44,73,0,1.0,2.5454545454545454,4.0,1.9241827716833386,0.6363636363636364,0.0,44,73,0,1.0,9.545454545454545,8.0,10.276749011624926,2.3863636363636362,0.0,44,1.0,17.545454545454547,16.0,44,1.0,9.909090909090908,8.0,8.030303030303031,4.0,8.067836811516674
sel117,q1c,250.0,601.356,35.424,0,150.0,30,30,30,30,30,40,41,41,0.04198473282442748,30,10,0,1.0,7.866666666666666,4.0,9.379883913046164,1.9666666666666666,0.0,30,11,0,1.0,12.266666666666667,12.0,11.43561687594217,3.066666666666667,0.0,30,11,0,1.0,8.8,8.0,10.949581422745498,2.2,0.0,30,1.0,18.133333333333333,16.0,30,1.0,23.866666666666667,24.0,9.644444444444444,12.0,5.959700050452039
sel123,q1c,250.0,600.96,37.292,0,150.0,30,30,30,30,30,30,30,30,0.09731543624161074,30,0,0,1.0,9.866666666666667,8.0,10.6198974675946,2.466666666666667,0.0,30,0,0,1.0,5.066666666666666,4.0,2.908989897236191,1.2666666666666666,0.0,30,0,0,1.0,9.6,8.0,9.488238333150505,2.4,0.0,30,1.0,19.333333333333332,20.0,30,1.0,20.133333333333333,16.0,8.177777777777777,8.0,6.474870702746422
sel14046,q1c,250.0,600.12,90.0,0,150.0,30,30,30,30,30,124,124,124,0.0,30,94,0,1.0,10.933333333333334,12.0,4.836895239257881,2.7333333333333334,0.0,30,94,0,1.0,4.8,4.0,2.8095076674273964,1.2,0.0,30,94,0,1.0,6.533333333333333,4.0,7.752848938723536,1.6333333333333333,0.0,30,1.0,14.666666666666666,16.0,30,1.0,25.733333333333334,26.0,7.4222222222222225,8.0,5.2174446230948845
sel14157,q1c,250.0,602.18,27.952,0,150.0,28,30,30,30,30,33,34,34,0.032,28,5,0,1.0,41.142857142857146,42.0,8.935140440635365,10.285714285714286,0.06666666666666665,30,4,0,1.0,17.2,16.0,3.7452191747168375,4.3,0.0,30,4,0,1.0,85.6,84.0,9.38651515029229,21.4,0.0,30,1.0,12.666666666666666,12.0,30,1.0,30.933333333333334,32.0,48.13636363636363,42.0,29.67367283475593
sel14172,q1c,250.0,601.284,90.0,0,150.0,39,39,39,39,39,65,65,65,0.08333333333333333,39,26,0,1.0,10.461538461538462,12.0,5.572544700392256,2.6153846153846154,0.0,39,26,0,1.0,5.435897435897436,4.0,7.570314702459871,1.358974358974359,0.0,39,26,0,1.0,24.41025641025641,16.0,32.37973246173026,6.102564102564102,0.0,39,1.0,31.076923076923077,8.0,39,1.0,40.41025641025641,40.0,13.435897435897436,12.0,18.53035606753094
sel15814,q1c,250.0,600.152,30.636,0,150.0,30,30,30,30,30,34,34,34,0.0,30,4,0,1.0,6.666666666666667,6.0,7.075466219424853,1.6666666666666667,0.0,30,4,0,1.0,3.066666666666667,4.0,3.3862466931200785,0.7666666666666667,0.0,30,4,0,1.0,124.66666666666667,130.0,24.681076871878087,31.166666666666668,0.0,30,1.0,57.46666666666667,56.0,30,1.0,101.46666666666667,104.0,44.8,8.0,58.348226670187294
