metric,value
log_file,data/real_ad8232/20260704_190653_ad8232_live_log.csv
valid_samples,32662
malformed_packets,0
checksum_errors,0
dropped_packets,0
packet_loss_rate,0.0
duration_s,130.643996
estimated_sampling_rate_hz,250.00000765438926
mean_interval_us,3999.9998775297754
timing_jitter_std_us,1.8532552330488734
timing_jitter_ratio,0.0004633138224477553
adc_clipping_rate,0.006705039495438124
lead_off_sample_count,0
lead_off_fraction,0.0
lead_off_period_count,0
flatline_period_count,0
overall_sqi_level,usable_for_pqrst
overall_sqi_score,0.8002615198409093
overall_sqi_reasons,basic SQI checks passed
r_peak_count,174
mean_hr_bpm,79.47932862029283
rhythm_label,Moderate preliminary rhythm warning
rhythm_reasons,Irregular RR intervals; Premature-beat suspicion
n_windows,26
windows_warning_suppressed,2
